currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 19:48",05.06.2026,"Băile Ocna Sibiului hc",216
"07.06.2026 04:02",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 08:18",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 10:58",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 12:24",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 14:34",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 17:38",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 19:45",06.06.2026,"Băile Ocna Sibiului hc",43
"07.06.2026 21:22",07.06.2026,"Băile Ocna Sibiului hc",46
"07.06.2026 23:14",07.06.2026,"Băile Ocna Sibiului hc",46
"08.06.2026 04:50",07.06.2026,"Băile Ocna Sibiului hc",46
"08.06.2026 22:00",08.06.2026,"Băile Ocna Sibiului hc",80
"08.06.2026 22:00",08.06.2026,"Băile Ocna Sibiului hc",80
"08.06.2026 22:00",08.06.2026,"Băile Ocna Sibiului hc",80
"08.06.2026 22:00",08.06.2026,"Băile Ocna Sibiului hc",80
"08.06.2026 22:00",08.06.2026,"Băile Ocna Sibiului hc",80
"09.06.2026 22:29",09.06.2026,"Băile Ocna Sibiului hc",147
"09.06.2026 22:29",09.06.2026,"Băile Ocna Sibiului hc",147
"09.06.2026 22:29",09.06.2026,"Băile Ocna Sibiului hc",147
"09.06.2026 22:29",09.06.2026,"Băile Ocna Sibiului hc",147
"10.06.2026 22:57",10.06.2026,"Băile Ocna Sibiului hc",137
"10.06.2026 22:57",10.06.2026,"Băile Ocna Sibiului hc",137
"10.06.2026 22:57",10.06.2026,"Băile Ocna Sibiului hc",137
"11.06.2026 22:55",11.06.2026,"Băile Ocna Sibiului hc",48
"11.06.2026 22:55",11.06.2026,"Băile Ocna Sibiului hc",48
"11.06.2026 22:55",11.06.2026,"Băile Ocna Sibiului hc",48
"11.06.2026 22:55",11.06.2026,"Băile Ocna Sibiului hc",48
"12.06.2026 22:30",12.06.2026,"Băile Ocna Sibiului hc",72
"12.06.2026 22:30",12.06.2026,"Băile Ocna Sibiului hc",72
"12.06.2026 22:30",12.06.2026,"Băile Ocna Sibiului hc",72
